State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Bihar,Aurangabad,Aurangabad (Nagar Parishad),950,229,711,217,172,5,3,2,154,148,6
Bihar,Aurangabad,Daudnagar (NP),1414,18,1317,1317,431,74,3,2,937,139,3
Bihar,Aurangabad,Nabinagar (NP),668,18,627,493,362,19,2,2,16,178,5
Bihar,Aurangabad,Rafiganj (NP),1571,569,709,418,185,145,4,144,452,221,9
Bihar,Arwal,Arwal (Nagar Parishad),4850,545,3508,742,218,26,2,769,1009,668,5
Andaman & Nicobar Islands,South Andaman,Port Blair (M Cl),12,9,0,0,0,0,0,3,0,0,46
Uttar Pradesh,Chandauli,Chakia (NP),2748,606,583,583,474,1552,4,3,322,13,0
Uttar Pradesh,Chandauli,Chandauli (NP),3505,148,856,849,705,2492,3,6,105,20,10
Uttar Pradesh,Chandauli,Mughalsarai (NPP),5665,150,2879,2872,2393,2601,8,27,405,363,8
Uttar Pradesh,Chandauli,Mughalsarai Railway Settlement (ITS),0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Chandauli,Saiyad Raza (NP),1795,329,938,709,698,480,2,46,22,79,11
Tamil Nadu,Ariyalur,Ariyalur (M),1161,124,1005,998,967,30,0,2,842,4,0
Tamil Nadu,Ariyalur,Jayankondam (M),3131,1,3106,3106,851,24,0,0,2241,167,0
Tamil Nadu,Ariyalur,Udayarpalayam (TP),613,264,344,1,1,2,3,0,492,3,0
Tamil Nadu,Ariyalur,Varadarajanpettai (TP),377,114,262,157,154,1,0,0,281,7,0
Rajasthan,Bharatpur,Bayana (M),1968,0,1950,1950,1839,1,0,17,1799,8,0
Rajasthan,Bharatpur,Bharatpur (M Cl),6527,192,6289,6265,277,29,2,15,4476,450,18
Rajasthan,Bharatpur,Bhusawar (M),1200,226,735,668,651,239,0,0,173,2,0
Rajasthan,Bharatpur,Deeg (M),2906,378,2156,2156,2097,370,0,2,2025,39,3
Rajasthan,Bharatpur,Kaman (M),2551,249,1982,1102,665,318,1,1,1097,34,1
Rajasthan,Bharatpur,Kumher (M),1866,148,1600,1591,1501,116,0,2,763,153,0
Rajasthan,Bharatpur,Nadbai (M),1200,0,1057,1056,904,138,0,5,1004,9,0
Rajasthan,Bharatpur,Nagar (M),1839,84,1546,1534,1510,98,0,111,1425,0,1
Rajasthan,Bharatpur,Rupbas,1198,67,1109,1109,1108,20,2,0,326,113,1
Rajasthan,Bharatpur,Weir (M),1732,7,1406,1397,1374,319,0,0,1466,0,0
Bihar,Gaya,Bodh Gaya (NP),4564,330,3324,2928,2275,890,1,19,935,2378,1
