State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Tamil Nadu,Vellore,Uthayendram (TP),93,0,93,93,63,0,0,0,84,0,0
Tamil Nadu,Vellore,Vaniyambadi (M),1294,53,1239,1114,1108,2,0,0,1123,3,0
Tamil Nadu,Vellore,Vellore (M. Corp),8329,468,7029,5414,1400,808,0,24,4166,147,0
Tamil Nadu,Vellore,Vilapakkam (TP),589,118,471,470,466,0,0,0,408,2,0
Tamil Nadu,Vellore,Walajapet (M),871,170,700,645,5,1,0,0,748,4,0
Uttar Pradesh,Shahjahanpur,Allahganj (NP),1918,129,1015,973,765,768,3,3,508,89,3
Uttar Pradesh,Shahjahanpur,Jalalabad (NPP),1773,37,692,682,579,1029,4,11,358,158,50
Uttar Pradesh,Shahjahanpur,Kanth (NP),3730,445,2159,2140,1436,975,5,146,691,495,3
Uttar Pradesh,Shahjahanpur,Katra (NP),2744,456,1733,1733,1435,498,13,44,868,744,6
Uttar Pradesh,Shahjahanpur,Khudaganj (NP),1896,227,1517,1516,1474,148,3,1,725,618,26
Uttar Pradesh,Shahjahanpur,Khutar (NP),2176,97,1683,1372,1187,390,2,4,695,276,1
Uttar Pradesh,Shahjahanpur,Powayan (NP),2669,48,1580,1580,912,361,5,675,1126,239,6
Uttar Pradesh,Shahjahanpur,Railway Settlement Roza (NP),155,1,45,44,38,104,2,3,34,13,1
Uttar Pradesh,Shahjahanpur,Shahjahanpur (CB),11,11,0,0,0,0,0,0,0,0,2
Uttar Pradesh,Shahjahanpur,Shahjahanpur (NPP),5734,1082,3268,1826,1184,1317,30,37,750,472,33
Uttar Pradesh,Shahjahanpur,Tilhar (NPP),2530,363,1459,1430,1360,674,11,23,602,275,11
Tamil Nadu,Tiruppur,Avanashi (TP),385,0,384,384,350,1,0,0,273,0,4
Tamil Nadu,Tiruppur,Chinnakkampalayam (TP),317,0,312,312,280,5,0,0,313,0,0
Tamil Nadu,Tiruppur,Dhali (TP),284,0,283,283,278,1,0,0,283,0,0
Tamil Nadu,Tiruppur,Dharapuram (M),733,13,573,545,328,146,0,1,544,6,0
Tamil Nadu,Tiruppur,Kangeyam Municipality,603,0,488,488,320,115,0,0,488,0,0
Tamil Nadu,Tiruppur,Kaniyur (TP),581,3,577,575,569,1,0,0,414,1,0
Uttar Pradesh,Sambhal,Babrala (NP),1700,181,576,535,410,935,2,6,452,80,4
Tamil Nadu,Tiruppur,Kannivadi (TP),521,0,520,520,432,1,0,0,298,0,0
Tamil Nadu,Tiruppur,Kolathupalayam (TP),1389,248,1140,362,354,0,0,1,969,15,0
Uttar Pradesh,Sambhal,Bahjoi (NPP),2901,199,609,544,442,2075,8,10,307,180,6
Uttar Pradesh,Sambhal,Chandausi (NPP),5390,321,2244,2244,1489,2800,9,16,884,219,8
Tamil Nadu,Tiruppur,Komaralingam (TP),1391,74,1307,792,417,9,1,0,813,23,1
Tamil Nadu,Tiruppur,Kunnathur (TP),300,0,298,298,286,2,0,0,91,12,0
Uttar Pradesh,Sambhal,Gawan (NP),1458,161,420,420,335,865,3,9,152,161,4
Uttar Pradesh,Sambhal,Gunnaur (NP),5918,392,732,717,585,4749,7,38,481,47,11
Tamil Nadu,Tiruppur,Madathukulam (TP),1366,0,1351,1351,1338,15,0,0,1078,22,0
Tamil Nadu,Tiruppur,Mulanur (TP),1122,8,1111,915,493,3,0,0,411,12,0
Uttar Pradesh,Sambhal,Narauli (NP),3142,46,1008,995,506,2063,6,19,650,40,0
Uttar Pradesh,Sambhal,Sambhal (NPP),19989,491,1303,1240,1056,18066,10,119,725,64,19
Tamil Nadu,Tiruppur,Muthur (TP),1349,0,1340,630,539,9,0,0,577,21,0
Uttar Pradesh,Sambhal,Sirsi (NP),2994,47,1143,1137,1067,1736,5,63,573,316,0
Tamil Nadu,Tiruppur,Palladam (M),325,0,211,211,186,113,0,1,211,0,0
Tamil Nadu,Tiruppur,Rudravathi (TP),1268,8,1237,1237,1179,23,0,0,497,0,0
Tamil Nadu,Tiruppur,S.Nallur (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Tiruppur,Samalapuram (TP),1210,84,1121,1111,1098,1,3,1,744,3,0
Tamil Nadu,Tiruppur,Sankaramanallur (TP),1076,77,996,996,917,3,0,0,915,2,0
Tamil Nadu,Tiruppur,Thirumuruganpoondi (TP),57,3,53,32,27,1,0,0,33,0,0
Tamil Nadu,Tiruppur,Tiruppur (M.Corp),4498,13,4434,4429,1011,7,0,44,4301,39,1
Uttar Pradesh,Saharanpur,Ambehta (NP),317,12,150,150,145,151,3,1,89,30,0
Tamil Nadu,Tiruppur,Udumalaipettai (M),611,27,417,413,411,167,0,0,377,24,0
Tamil Nadu,Tiruppur,Uthukuli (TP),227,64,163,163,162,0,0,0,109,2,0
Uttar Pradesh,Saharanpur,Behat (NP),816,82,334,334,329,311,5,84,131,75,2
Uttar Pradesh,Saharanpur,Chilkana Sultanpur (NP),695,104,506,506,470,83,1,1,232,40,3
Tamil Nadu,Tiruppur,Velampalayam (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Tiruppur,Vellakoil (M),1749,0,1342,1342,1038,351,0,56,1344,1,0
Uttar Pradesh,Saharanpur,Deoband (NPP),981,68,648,579,377,155,6,104,208,71,2
Uttar Pradesh,Saharanpur,Gangoh (NPP),2055,65,1437,1437,1367,482,71,0,823,147,2
Uttar Pradesh,Saharanpur,Nakur (NPP),707,104,287,281,223,310,3,3,382,29,4
Uttar Pradesh,Saharanpur,Nanauta (NP),779,18,583,550,514,174,1,3,214,64,6
Uttar Pradesh,Saharanpur,Rampur Maniharan (NP),1537,1,793,792,749,740,1,2,286,90,1
Uttar Pradesh,Saharanpur,Saharanpur (M Corp.),4782,102,3924,3924,3896,732,12,12,1117,820,4
Uttar Pradesh,Saharanpur,Sarsawa (NPP),503,80,341,332,325,70,1,11,100,56,0
Uttar Pradesh,Saharanpur,Titron (NP),558,99,364,354,334,95,0,0,204,76,3
Tamil Nadu,Thoothukkudi,Alwarthirunagiri (TP),184,1,158,141,110,25,0,0,126,0,0
Tamil Nadu,Thoothukkudi,Arumuganeri (TP),904,154,749,709,696,1,0,0,733,4,0
Tamil Nadu,Thoothukkudi,Athur (TP),121,0,118,77,77,3,0,0,78,1,0
Tamil Nadu,Thoothukkudi,Eral (TP),25,1,22,22,22,2,0,0,23,0,0
Tamil Nadu,Thoothukkudi,Ettayapuram (TP),478,1,474,355,355,3,0,0,355,1,0
Tamil Nadu,Thoothukkudi,Kadambur (TP),476,15,457,456,452,4,0,0,457,2,0
Tamil Nadu,Thoothukkudi,Kalugumalai (TP),644,39,603,522,508,2,0,0,438,8,0
Uttar Pradesh,Rampur,Bilaspur (NPP),1308,9,530,496,459,760,9,0,510,63,0
Tamil Nadu,Thoothukkudi,Kanam (TP),370,0,368,368,366,1,0,1,288,1,0
Uttar Pradesh,Rampur,Kemri (NP),1535,147,325,184,171,1029,3,31,62,8,2
Tamil Nadu,Thoothukkudi,Kayalpattinam (M),387,30,346,346,98,11,0,0,305,6,0
Uttar Pradesh,Rampur,Maswasi (NP),2112,243,456,409,276,1405,5,3,118,124,1
Uttar Pradesh,Rampur,Milak (NPP),3363,768,690,653,629,1894,7,4,88,191,9
Tamil Nadu,Thoothukkudi,Kayatharu (TP),607,0,568,549,549,39,0,0,549,1,0
Tamil Nadu,Thoothukkudi,Kovilpatti (M),1734,64,1639,1639,1099,31,0,0,1374,19,0
Uttar Pradesh,Rampur,Rampur (NPP),4585,290,639,433,356,3640,12,4,205,79,25
Uttar Pradesh,Rampur,Shahabad (NP),14487,5581,875,112,45,7627,52,352,195,7,18
Tamil Nadu,Thoothukkudi,Nazerath (TP),301,35,246,245,243,20,0,0,245,1,0
Tamil Nadu,Thoothukkudi,Perungulam (TP),481,95,377,319,313,9,0,0,318,1,0
Uttar Pradesh,Rampur,Suar (NPP),3003,14,705,651,630,2260,3,21,110,138,11
Uttar Pradesh,Rampur,Tanda (NPP),873,24,297,276,274,536,5,11,105,24,2
Uttar Pradesh,Rae Bareli,Bachhrawan (NP),1420,0,725,725,653,694,0,1,180,67,0
Tamil Nadu,Thoothukkudi,Sathankulam (TP),81,25,56,52,51,0,0,0,53,0,7
Tamil Nadu,Thoothukkudi,Sayapuram (TP),265,33,230,230,230,2,0,0,214,2,0
Uttar Pradesh,Rae Bareli,Dalmau (NP),1818,274,1298,1259,784,241,5,0,215,387,4
Uttar Pradesh,Rae Bareli,Lalganj (NP),1278,93,1040,1039,104,125,1,19,340,104,0
Tamil Nadu,Thoothukkudi,Srivaikuntam (TP),452,32,417,302,298,3,0,0,323,2,0
Tamil Nadu,Thoothukkudi,Thenthiruperai (TP),164,0,158,127,69,5,1,0,127,5,0
Uttar Pradesh,Rae Bareli,Maharajganj (NP),437,0,306,306,43,125,0,6,128,51,0
Uttar Pradesh,Rae Bareli,Nasirabad (NP),1191,1124,46,0,0,21,0,0,0,0,0
Tamil Nadu,Thoothukkudi,Thoothukkudi (M Corp.),2986,281,2452,1820,630,227,3,23,1835,39,0
Tamil Nadu,Thoothukkudi,Tiruchendur (TP),1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Rae Bareli,Parsadepur (NP),2298,68,1165,1165,933,649,0,416,425,205,1
Uttar Pradesh,Rae Bareli,Rae Bareli (NPP),3527,3,3022,3022,2193,494,3,5,820,577,0
Tamil Nadu,Thoothukkudi,Udangudi (TP),561,0,560,481,469,1,0,0,481,2,0
Uttar Pradesh,Rae Bareli,Salon (NP),1355,183,633,633,267,523,7,9,254,78,1
Tamil Nadu,Thoothukkudi,V. Pudur (TP),190,37,151,125,125,0,0,2,151,0,0
Uttar Pradesh,Rae Bareli,Unchahar (NP),716,0,404,404,101,152,0,160,294,51,0
Tamil Nadu,Thoothukkudi,Vilathikulam (TP),476,103,373,175,160,0,0,0,366,0,0
Tamil Nadu,Thiruvarur,Kodavasal (TP),505,0,505,199,186,0,0,0,199,0,0
Tamil Nadu,Thiruvarur,Koradacheri (TP),215,133,80,80,76,2,0,0,80,2,0
Tamil Nadu,Thiruvarur,Kuthanallur (M),1004,111,887,818,444,6,0,0,834,12,0
Tamil Nadu,Thiruvarur,Mannargudi (M),2035,4,1605,1605,1456,15,0,411,1584,1,0
Tamil Nadu,Thiruvarur,Muthupet (TP),105,81,24,19,19,0,0,0,53,0,0
Tamil Nadu,Thiruvarur,Nannilam (TP),246,19,227,225,224,0,0,0,209,2,0
Tamil Nadu,Thiruvarur,Needamangalam (TP),326,21,295,294,292,7,3,0,233,5,0
Tamil Nadu,Thiruvarur,Peralam (TP),291,0,285,284,281,4,0,2,234,5,0
Tamil Nadu,Thiruvarur,Thiruthuraipoondi (M),1674,1,1667,1667,995,6,0,0,1667,3,0
Tamil Nadu,Thiruvarur,Thiruvarur (M),720,0,584,583,537,136,0,0,580,0,0
Tamil Nadu,Thiruvarur,Valangaiman (TP),533,273,259,241,240,1,0,0,245,4,0
Tamil Nadu,Tirunelveli,Achampudur (TP),452,0,449,365,363,2,0,1,365,0,0
Tamil Nadu,Tirunelveli,Alangulam (TP),695,1,542,402,402,152,0,0,413,17,0
Tamil Nadu,Tirunelveli,Alwarkurichi (TP),329,8,271,207,205,48,0,2,207,8,0
Tamil Nadu,Tirunelveli,Ambasamudram (M),1568,501,1058,804,104,8,1,0,1031,33,0
Tamil Nadu,Tirunelveli,Aygudi (TP),970,0,969,872,802,1,0,0,858,33,0
Tamil Nadu,Tirunelveli,Cheranmadevi (TP),911,78,795,418,414,38,0,0,638,100,0
Tamil Nadu,Tirunelveli,Courtalam (TP),135,0,95,87,64,40,0,0,86,1,0
Tamil Nadu,Tirunelveli,Eruvadi (TP),651,9,632,472,460,7,0,3,472,1,0
Tamil Nadu,Tirunelveli,Gopalasamudram (TP),967,237,705,515,515,23,0,2,761,5,0
Tamil Nadu,Tirunelveli,Ilanji (TP),847,122,711,659,651,3,0,11,656,8,0
Tamil Nadu,Tirunelveli,Kadayanallur (M),3208,370,2657,2561,2481,178,2,1,2763,7,0
Tamil Nadu,Tirunelveli,Kalakad (TP),904,158,745,717,716,0,1,0,904,0,0
Tamil Nadu,Tirunelveli,Kalladaikurichi (TP),625,0,625,624,603,0,0,0,622,1,0
Tamil Nadu,Tirunelveli,Kilapavoor (TP),897,0,879,736,735,18,0,0,739,1,0
Tamil Nadu,Tirunelveli,Manimutharu (TP),825,0,816,637,587,4,1,4,821,0,0
Tamil Nadu,Tirunelveli,Melacheval (TP),674,17,654,272,267,3,0,0,617,11,0
Tamil Nadu,Tirunelveli,Melagaram (TP),112,0,105,105,104,0,0,7,105,0,0
Tamil Nadu,Tirunelveli,Moolakaraipatti (TP),879,125,740,740,720,12,0,2,745,5,0
Tamil Nadu,Tirunelveli,Mukkudal (TP),604,0,604,604,603,0,0,0,604,0,0
Tamil Nadu,Tirunelveli,Nanguneri (TP),356,1,347,265,262,8,0,0,269,1,0
Tamil Nadu,Tirunelveli,Naranammalpuram (TP),121,37,73,51,51,11,0,0,90,2,0
Tamil Nadu,Tirunelveli,Panagudi (TP),823,0,678,678,599,145,0,0,678,9,0
Tamil Nadu,Tirunelveli,Panpoli (TP),848,216,629,604,589,0,0,3,605,0,0
Tamil Nadu,Tirunelveli,Pathamadai (TP),459,1,455,451,423,1,0,2,451,1,0
Tamil Nadu,Tirunelveli,Pudur (S) (TP),519,68,449,449,446,2,0,0,499,0,0
Tamil Nadu,Tirunelveli,Puliankudi (M),2425,9,2411,2359,1322,1,0,4,1596,75,0
Tamil Nadu,Tirunelveli,Rayagiri (TP),746,324,421,405,397,1,0,0,591,2,0
Tamil Nadu,Tirunelveli,Sambavar Vadagarai (TP),422,0,422,336,322,0,0,0,336,5,0
Tamil Nadu,Tirunelveli,Sankarankoil (M),3020,1,2360,2360,2245,22,0,637,2334,7,0
Tamil Nadu,Tirunelveli,Sankarnagar (TP),322,8,311,298,296,3,0,0,273,1,0
Tamil Nadu,Tirunelveli,Shenkottai (M),1027,134,683,425,399,210,0,0,703,6,0
Tamil Nadu,Tirunelveli,Sivagiri (TP),1330,0,1318,1050,1048,12,0,0,1193,27,0
Tamil Nadu,Tirunelveli,Sundarapandiapuram (TP),872,0,872,556,545,0,0,0,539,56,0
Tamil Nadu,Tirunelveli,Surandai (TP),247,59,161,161,160,27,0,0,161,2,0
Tamil Nadu,Tirunelveli,Tenkasi (M),2047,0,1806,1806,647,97,0,144,1737,21,0
Tamil Nadu,Tirunelveli,Thirukarungudi (TP),532,0,524,524,477,6,1,1,528,0,0
Tamil Nadu,Tirunelveli,Thiruvenkadam (TP),548,167,375,358,356,5,0,1,412,10,0
Tamil Nadu,Tirunelveli,Thisayanvilai (TP),613,33,573,573,566,7,0,0,576,13,0
Tamil Nadu,Tirunelveli,Tirunelveli (M Corp.),3929,31,3648,3647,3445,241,0,9,3032,107,0
Tamil Nadu,Tirunelveli,Vadakarai Keezhpadugai (TP),1213,6,1204,1020,888,0,0,3,1017,0,0
Tamil Nadu,Tirunelveli,Vadakkuvalliyur (TP),1197,63,1134,852,848,0,0,0,854,0,0
Tamil Nadu,Tirunelveli,Vasudevanallur (TP),135,0,101,99,99,34,0,0,82,3,0
Tamil Nadu,Tirunelveli,Veeravanallur (TP),25,4,14,14,14,7,0,0,15,0,0
Tamil Nadu,Tirunelveli,Vikramasingapuram (M),3642,924,2484,2399,1472,234,0,0,2218,58,0
Tamil Nadu,Tiruchirappalli,Balakrishnampatti (TP),661,209,452,449,444,0,0,0,418,19,0
Tamil Nadu,Tiruchirappalli,Kallakudi (TP),603,35,566,560,559,0,2,0,483,5,0
Tamil Nadu,Tiruchirappalli,Kattuputhur (TP),223,55,168,115,113,0,0,0,116,3,0
Tamil Nadu,Tiruchirappalli,Koothappar (TP),82,28,53,53,53,1,0,0,53,0,0
Tamil Nadu,Tiruchirappalli,Lalgudi (TP),582,229,234,1,0,110,8,1,436,4,0
Tamil Nadu,Tiruchirappalli,Manachanallur (TP),337,69,268,254,251,0,0,0,274,30,0
Tamil Nadu,Tiruchirappalli,Manapparai (M),1614,117,1429,1429,857,68,0,0,1425,2,3
Tamil Nadu,Tiruchirappalli,Mettupalayam (TP),285,10,275,275,273,0,0,0,240,0,0
Tamil Nadu,Tiruchirappalli,Musiri (TP),865,1,862,542,529,1,0,1,655,10,0
Tamil Nadu,Tiruchirappalli,Ponnampatti (TP),464,240,221,219,82,0,0,3,221,1,0
Tamil Nadu,Tiruchirappalli,Pullampadi (TP),68,28,40,40,40,0,0,0,38,2,0
Tamil Nadu,Tiruchirappalli,Puvalur (TP),240,48,190,76,75,1,0,1,145,14,0
Tamil Nadu,Tiruchirappalli,S. Kannanur (TP),412,1,378,372,363,33,0,0,368,8,0
Tamil Nadu,Tiruchirappalli,Sirugamani (TP),326,251,65,63,48,9,0,1,198,1,6
Tamil Nadu,Tiruchirappalli,Thathaiyangarpet (TP),386,104,281,279,279,1,0,0,279,0,0
Tamil Nadu,Tiruchirappalli,Thiruverumbur (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Tiruchirappalli,Thottiyam (TP),442,216,205,59,59,20,1,0,314,0,0
Tamil Nadu,Tiruchirappalli,Thuraiyur (M),771,13,658,658,654,2,0,98,630,0,0
Tamil Nadu,Tiruchirappalli,Thuvakudi (M),1596,15,1074,1074,508,186,0,321,894,10,0
Tamil Nadu,Tiruchirappalli,Tiruchirappalli (M Corp.),4526,1,4240,4240,4045,271,2,12,3576,34,1
Tamil Nadu,Tiruchirappalli,Uppiliapuram (TP),341,19,321,258,256,0,1,0,240,35,0
Tamil Nadu,Thiruvallur,Ambattur (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Arani (TP),813,451,351,312,311,11,0,0,339,1,0
Tamil Nadu,Thiruvallur,Avadi (M),6883,1671,4168,3766,2213,1042,1,1,3081,38,0
Tamil Nadu,Thiruvallur,Chinnasekkadu (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Gummidipoondi (TP),174,3,171,171,167,0,0,0,138,0,0
Tamil Nadu,Thiruvallur,Kattivakkam (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Madavaram (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Maduravoyal (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Manali (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Minjur (TP),332,38,293,292,288,1,0,0,292,0,0
Tamil Nadu,Thiruvallur,Naravarikuppam (TP),256,56,195,195,194,4,1,0,126,3,0
Tamil Nadu,Thiruvallur,Pallipattu (TP),467,191,276,276,276,0,0,0,231,0,0
Tamil Nadu,Thiruvallur,Ponneri (TP),509,339,169,168,89,1,0,0,270,0,0
Tamil Nadu,Thiruvallur,Poonamallee (M),1038,218,815,815,315,1,0,4,585,25,0
Tamil Nadu,Thiruvallur,Porur (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Pothatturpettai (TP),295,140,153,152,71,2,0,0,167,0,0
Tamil Nadu,Thiruvallur,Puzhal (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Thirumazhisai (TP),170,23,111,111,104,35,0,1,71,0,0
Tamil Nadu,Thiruvallur,Thirunindravur (TP),773,191,581,547,416,1,0,0,40,0,0
Tamil Nadu,Thiruvallur,Thiruvallur (M),1391,41,1331,1331,465,7,0,12,713,0,1
Tamil Nadu,Thiruvallur,Tiruttani (M),232,3,226,226,29,3,0,0,223,0,0
Tamil Nadu,Thiruvallur,Tiruverkadu (M),1733,6,1671,1620,815,10,0,46,1409,46,0
Tamil Nadu,Thiruvallur,Tiruvottiyur (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thiruvallur,Uthukkottai (TP),150,45,54,54,49,50,0,1,10,0,0
Tamil Nadu,Thiruvallur,Valasaravakkam (M),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Theni Allinagaram,Andipatti Jakkampatti (TP),2,2,0,0,0,0,0,0,0,0,0
Tamil Nadu,Theni Allinagaram,B. Meenakshipuram (TP),409,0,409,409,390,0,0,0,407,0,0
Tamil Nadu,Theni Allinagaram,Bodinayakanur (M),1401,15,1293,1252,1216,91,1,1,1058,104,0
Tamil Nadu,Theni Allinagaram,Boothipuram (TP),429,1,428,428,427,0,0,0,428,0,0
Tamil Nadu,Theni Allinagaram,Chinnamanur (M),1361,1,1301,1028,568,59,0,0,1021,3,0
Tamil Nadu,Theni Allinagaram,Devadanapatti (TP),539,42,490,469,426,4,3,0,469,22,0
Tamil Nadu,Theni Allinagaram,Ganguvarpatti (TP),671,4,546,546,541,121,0,0,546,0,0
Tamil Nadu,Theni Allinagaram,Gudalur (M),1639,128,1497,1359,1262,8,0,6,1084,1,0
Tamil Nadu,Theni Allinagaram,Hanumanthampatti (TP),393,0,277,277,276,4,0,112,277,0,0
Tamil Nadu,Theni Allinagaram,Highways (TP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Theni Allinagaram,Kamayagoundanpatti (TP),359,0,354,354,353,5,0,0,354,0,0
Tamil Nadu,Theni Allinagaram,Kambam (M),753,3,715,715,15,35,0,0,715,1,0
Tamil Nadu,Theni Allinagaram,Kombai (TP),109,0,103,103,83,4,1,1,103,0,0
Tamil Nadu,Theni Allinagaram,Kuchanur (TP),216,0,216,216,214,0,0,0,216,0,0
Tamil Nadu,Theni Allinagaram,Markayankottai (TP),112,0,110,110,109,2,0,0,110,0,0
Tamil Nadu,Theni Allinagaram,Melachokkanathapuram (TP),180,0,178,178,177,2,0,0,178,0,0
Tamil Nadu,Theni Allinagaram,Odaipatti (TP),486,46,439,430,399,1,0,0,430,0,0
Tamil Nadu,Theni Allinagaram,Palani Chettipatti (TP),204,0,202,202,201,2,0,0,202,0,0
Tamil Nadu,Theni Allinagaram,Pannaipuram (TP),176,0,150,150,150,26,0,0,150,7,0
Tamil Nadu,Theni Allinagaram,Periyakulam (M),958,304,429,429,412,225,0,0,429,2,0
Tamil Nadu,Theni Allinagaram,Pudupatti (TP),99,0,93,93,93,6,0,0,93,1,0
Tamil Nadu,Theni Allinagaram,Thamaraikulam (TP),500,0,461,458,179,39,0,0,471,0,0
Uttar Pradesh,Pratapgarh,Antu (NP),1924,470,685,685,357,727,3,39,126,22,1
Tamil Nadu,Theni Allinagaram,Theni Allinagaram (M),4064,79,3731,2803,1954,253,1,0,3132,171,0
Tamil Nadu,Theni Allinagaram,Thenkarai (TP),241,0,240,240,235,1,0,0,241,0,0
Uttar Pradesh,Pratapgarh,Bela Pratapgarh (NPP),4032,135,1495,1476,1330,2331,10,61,274,179,3
Uttar Pradesh,Pratapgarh,Katra Medniganj (NP),1929,46,366,366,251,1506,7,4,121,31,0
Tamil Nadu,Theni Allinagaram,Thevaram (TP),285,0,250,250,199,35,0,0,250,0,0
Tamil Nadu,Theni Allinagaram,Uthamapalayam (TP),102,0,101,101,83,1,0,0,101,0,0
Uttar Pradesh,Pratapgarh,Kunda (NP),6004,801,2841,1072,797,2244,4,114,434,167,6
Uttar Pradesh,Pratapgarh,Lalganj (NP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Theni Allinagaram,Vadugapatti (TP),99,0,61,61,61,38,0,0,61,1,0
Tamil Nadu,Theni Allinagaram,Veerapandi (TP),431,3,428,413,271,0,0,0,414,1,0
Uttar Pradesh,Pratapgarh,Manikpur (NP),5019,854,1620,1620,1170,2473,0,72,156,297,0
Uttar Pradesh,Pratapgarh,Patti (NP),2590,40,538,538,214,2008,2,2,28,102,9
Uttar Pradesh,Pratapgarh,Pratapgarh City (NP),2067,41,1487,1485,997,532,0,7,337,70,1
Uttar Pradesh,Pratapgarh,Raniganj (NP),0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Thanjavur,Adiramapattinam (TP),500,6,464,247,244,30,0,0,242,7,0
Tamil Nadu,Thanjavur,Aduthurai alias Maruthuvakudi (TP),238,58,177,151,149,3,0,0,152,2,0
Tamil Nadu,Thanjavur,Ammapettai (TP),678,234,443,284,100,0,1,0,293,34,1
Tamil Nadu,Thanjavur,Ayyampettai (TP),88,2,56,56,55,29,0,1,43,3,0
Tamil Nadu,Thanjavur,Cholapuram (TP),396,233,162,162,162,1,0,0,243,1,0
Tamil Nadu,Thanjavur,Dharasuram (TP),323,0,320,211,209,3,0,0,149,23,0
Tamil Nadu,Thanjavur,Kumbakonam (M),834,0,831,831,705,2,1,0,695,28,0
Tamil Nadu,Thanjavur,Madukkur (TP),228,9,219,219,213,0,0,0,170,0,5
Tamil Nadu,Thanjavur,Melathiruppanthuruthi (TP),300,95,203,203,196,1,0,1,175,1,2
Tamil Nadu,Thanjavur,Melattur (TP),718,330,362,318,302,24,2,0,353,9,0
Tamil Nadu,Thanjavur,Orathanadu (Mukthambalpuram) (TP),96,39,55,43,41,2,0,0,43,0,0
Tamil Nadu,Thanjavur,Papanasam (TP),485,69,414,326,326,2,0,0,279,10,0
Tamil Nadu,Thanjavur,Pattukkottai (M),1463,80,950,950,698,310,0,123,947,11,0
Tamil Nadu,Thanjavur,Peravurani (TP),1487,0,1486,1443,1391,1,0,0,1014,0,0
Tamil Nadu,Thanjavur,Perumagalur (TP),731,184,547,457,434,0,0,0,457,1,0
Tamil Nadu,Thanjavur,Swamimalai (TP),291,72,218,149,143,1,0,0,192,4,0
Tamil Nadu,Thanjavur,Thanjavur (M),1868,128,1645,1593,44,91,0,4,1380,60,0
Tamil Nadu,Thanjavur,Thirukkattupalli (TP),252,26,226,209,202,0,0,0,190,2,0
Tamil Nadu,Thanjavur,Thirunageswaram (TP),282,66,214,209,208,2,0,0,200,0,0
Tamil Nadu,Thanjavur,Thiruppanandal (TP),536,290,242,184,154,2,0,2,204,9,0
Tamil Nadu,Thanjavur,Thirupuvanam (TP),498,330,165,113,112,3,0,0,167,36,1
Tamil Nadu,Thanjavur,Thiruvaiyaru (TP),211,78,131,131,126,1,1,0,131,0,0
Tamil Nadu,Thanjavur,Thiruvidaimarudur (TP),217,93,122,109,106,0,0,2,119,0,0
Tamil Nadu,Thanjavur,Vallam (TP),218,102,112,111,105,4,0,0,156,1,0
Tamil Nadu,Thanjavur,Veppathur (TP),269,114,146,101,100,9,0,0,149,5,0
Tamil Nadu,Salem,Arasiramani (TP),1314,688,621,296,46,1,0,4,904,6,0
Tamil Nadu,Salem,Attayampatti (TP),212,0,204,135,135,6,0,2,136,0,0
Tamil Nadu,Salem,Attur (M),4206,180,3670,2567,1307,146,1,209,2190,162,0
Tamil Nadu,Salem,Ayothiapattinam (TP),540,0,533,414,390,2,0,5,535,0,0
Tamil Nadu,Ramanathapuram,Abiramam (TP),292,15,241,171,141,36,0,0,65,0,0
Tamil Nadu,Salem,Belur (TP),320,0,317,317,311,3,0,0,232,10,0
Tamil Nadu,Salem,Edaganasalai (TP),2491,97,2376,2376,2194,16,0,2,2435,0,0
Tamil Nadu,Ramanathapuram,Kamuthi (TP),278,81,146,146,99,51,0,0,114,57,0
Tamil Nadu,Ramanathapuram,Keelakarai (M),366,0,287,287,89,79,0,0,288,0,0
Tamil Nadu,Salem,Edappadi (M),4676,5,4423,4420,2092,30,0,218,1412,77,0
Tamil Nadu,Salem,Ethapur (TP),502,82,418,389,217,1,0,1,496,0,0
Tamil Nadu,Ramanathapuram,Mandapam (TP),577,31,537,501,480,9,0,0,367,3,1
